rule active prio match action
R0 true 100 src=1000,dst=100 delete(R0),delete(R1),delete(R3),send(IDPS)
R1 true 100 src=100,dst=1000 delete(R0),delete(R1),delete(R4),drop()
R2 true 50 src=1000,dst=100 send(IDPS)
R3 true 50 src=100,dst=1000 drop()
R4 true 50 src=100,dst=1000 send(IDPS)
R5 true 100 src=1001,dst=100 delete(R5),delete(R6),delete(R8),send(IDPS)
R6 true 100 src=100,dst=1001 delete(R5),delete(R6),delete(R9),drop()
R7 true 50 src=1001,dst=100 send(IDPS)
R8 true 50 src=100,dst=1001 drop()
R9 true 50 src=100,dst=1001 send(IDPS)
R10 true 100 src=1002,dst=100 delete(R10),delete(R11),delete(R13),send(IDPS)
R11 true 100 src=100,dst=1002 delete(R10),delete(R11),delete(R14),drop()
R12 true 50 src=1002,dst=100 send(IDPS)
R13 true 50 src=100,dst=1002 drop()
R14 true 50 src=100,dst=1002 send(IDPS)
R15 true 100 src=1003,dst=100 delete(R15),delete(R16),delete(R18),send(IDPS)
R16 true 100 src=100,dst=1003 delete(R15),delete(R16),delete(R19),drop()
R17 true 50 src=1003,dst=100 send(IDPS)
R18 true 50 src=100,dst=1003 drop()
R19 true 50 src=100,dst=1003 send(IDPS)
R20 true 100 src=1004,dst=100 delete(R20),delete(R21),delete(R23),send(IDPS)
R21 true 100 src=100,dst=1004 delete(R20),delete(R21),delete(R24),drop()
R22 true 50 src=1004,dst=100 send(IDPS)
R23 true 50 src=100,dst=1004 drop()
R24 true 50 src=100,dst=1004 send(IDPS)
R25 true 100 src=1005,dst=100 delete(R25),delete(R26),delete(R28),send(IDPS)
R26 true 100 src=100,dst=1005 delete(R25),delete(R26),delete(R29),drop()
R27 true 50 src=1005,dst=100 send(IDPS)
R28 true 50 src=100,dst=1005 drop()
R29 true 50 src=100,dst=1005 send(IDPS)
R30 true 100 src=1006,dst=100 delete(R30),delete(R31),delete(R33),send(IDPS)
R31 true 100 src=100,dst=1006 delete(R30),delete(R31),delete(R34),drop()
R32 true 50 src=1006,dst=100 send(IDPS)
R33 true 50 src=100,dst=1006 drop()
R34 true 50 src=100,dst=1006 send(IDPS)
R35 true 100 src=1007,dst=100 delete(R35),delete(R36),delete(R38),send(IDPS)
R36 true 100 src=100,dst=1007 delete(R35),delete(R36),delete(R39),drop()
R37 true 50 src=1007,dst=100 send(IDPS)
R38 true 50 src=100,dst=1007 drop()
R39 true 50 src=100,dst=1007 send(IDPS)
R40 true 100 src=1008,dst=100 delete(R40),delete(R41),delete(R43),send(IDPS)
R41 true 100 src=100,dst=1008 delete(R40),delete(R41),delete(R44),drop()
R42 true 50 src=1008,dst=100 send(IDPS)
R43 true 50 src=100,dst=1008 drop()
R44 true 50 src=100,dst=1008 send(IDPS)
R45 true 100 src=1009,dst=100 delete(R45),delete(R46),delete(R48),send(IDPS)
R46 true 100 src=100,dst=1009 delete(R45),delete(R46),delete(R49),drop()
R47 true 50 src=1009,dst=100 send(IDPS)
R48 true 50 src=100,dst=1009 drop()
R49 true 50 src=100,dst=1009 send(IDPS)
R50 true 1 * send(IDPS)
