rule active prio match action
R0 false 100 src=1000 drop()
R1 false 50 src=1000,dst=100 add(R0),drop()
R2 false 50 src=1000,dst=200 add(R1),send()
R3 true 40 dst=1000,port=2222 add(R2),send()
R4 false 100 src=1001 drop()
R5 false 50 src=1001,dst=100 add(R4),drop()
R6 false 50 src=1001,dst=200 add(R5),send()
R7 true 40 dst=1001,port=2222 add(R6),send()
R8 false 100 src=1002 drop()
R9 false 50 src=1002,dst=100 add(R8),drop()
R10 false 50 src=1002,dst=200 add(R9),send()
R11 true 40 dst=1002,port=2222 add(R10),send()
R12 false 100 src=1003 drop()
R13 false 50 src=1003,dst=100 add(R12),drop()
R14 false 50 src=1003,dst=200 add(R13),send()
R15 true 40 dst=1003,port=2222 add(R14),send()
R16 false 100 src=1004 drop()
R17 false 50 src=1004,dst=100 add(R16),drop()
R18 false 50 src=1004,dst=200 add(R17),send()
R19 true 40 dst=1004,port=2222 add(R18),send()
R20 false 100 src=1005 drop()
R21 false 50 src=1005,dst=100 add(R20),drop()
R22 false 50 src=1005,dst=200 add(R21),send()
R23 true 40 dst=1005,port=2222 add(R22),send()
R24 false 100 src=1006 drop()
R25 false 50 src=1006,dst=100 add(R24),drop()
R26 false 50 src=1006,dst=200 add(R25),send()
R27 true 40 dst=1006,port=2222 add(R26),send()
R28 false 100 src=1007 drop()
R29 false 50 src=1007,dst=100 add(R28),drop()
R30 false 50 src=1007,dst=200 add(R29),send()
R31 true 40 dst=1007,port=2222 add(R30),send()
R32 false 100 src=1008 drop()
R33 false 50 src=1008,dst=100 add(R32),drop()
R34 false 50 src=1008,dst=200 add(R33),send()
R35 true 40 dst=1008,port=2222 add(R34),send()
R36 false 100 src=1009 drop()
R37 false 50 src=1009,dst=100 add(R36),drop()
R38 false 50 src=1009,dst=200 add(R37),send()
R39 true 40 dst=1009,port=2222 add(R38),send()
R40 false 100 src=1010 drop()
R41 false 50 src=1010,dst=100 add(R40),drop()
R42 false 50 src=1010,dst=200 add(R41),send()
R43 true 40 dst=1010,port=2222 add(R42),send()
R44 false 100 src=1011 drop()
R45 false 50 src=1011,dst=100 add(R44),drop()
R46 false 50 src=1011,dst=200 add(R45),send()
R47 true 40 dst=1011,port=2222 add(R46),send()
R48 false 100 src=1012 drop()
R49 false 50 src=1012,dst=100 add(R48),drop()
R50 false 50 src=1012,dst=200 add(R49),send()
R51 true 40 dst=1012,port=2222 add(R50),send()
R52 false 100 src=1013 drop()
R53 false 50 src=1013,dst=100 add(R52),drop()
R54 false 50 src=1013,dst=200 add(R53),send()
R55 true 40 dst=1013,port=2222 add(R54),send()
R56 false 100 src=1014 drop()
R57 false 50 src=1014,dst=100 add(R56),drop()
R58 false 50 src=1014,dst=200 add(R57),send()
R59 true 40 dst=1014,port=2222 add(R58),send()
R60 false 100 src=1015 drop()
R61 false 50 src=1015,dst=100 add(R60),drop()
R62 false 50 src=1015,dst=200 add(R61),send()
R63 true 40 dst=1015,port=2222 add(R62),send()
R64 false 100 src=1016 drop()
R65 false 50 src=1016,dst=100 add(R64),drop()
R66 false 50 src=1016,dst=200 add(R65),send()
R67 true 40 dst=1016,port=2222 add(R66),send()
R68 false 100 src=1017 drop()
R69 false 50 src=1017,dst=100 add(R68),drop()
R70 false 50 src=1017,dst=200 add(R69),send()
R71 true 40 dst=1017,port=2222 add(R70),send()
R72 false 100 src=1018 drop()
R73 false 50 src=1018,dst=100 add(R72),drop()
R74 false 50 src=1018,dst=200 add(R73),send()
R75 true 40 dst=1018,port=2222 add(R74),send()
R76 false 100 src=1019 drop()
R77 false 50 src=1019,dst=100 add(R76),drop()
R78 false 50 src=1019,dst=200 add(R77),send()
R79 true 40 dst=1019,port=2222 add(R78),send()
R80 false 100 src=1020 drop()
R81 false 50 src=1020,dst=100 add(R80),drop()
R82 false 50 src=1020,dst=200 add(R81),send()
R83 true 40 dst=1020,port=2222 add(R82),send()
R84 false 100 src=1021 drop()
R85 false 50 src=1021,dst=100 add(R84),drop()
R86 false 50 src=1021,dst=200 add(R85),send()
R87 true 40 dst=1021,port=2222 add(R86),send()
R88 false 100 src=1022 drop()
R89 false 50 src=1022,dst=100 add(R88),drop()
R90 false 50 src=1022,dst=200 add(R89),send()
R91 true 40 dst=1022,port=2222 add(R90),send()
R92 false 100 src=1023 drop()
R93 false 50 src=1023,dst=100 add(R92),drop()
R94 false 50 src=1023,dst=200 add(R93),send()
R95 true 40 dst=1023,port=2222 add(R94),send()
R96 false 100 src=1024 drop()
R97 false 50 src=1024,dst=100 add(R96),drop()
R98 false 50 src=1024,dst=200 add(R97),send()
R99 true 40 dst=1024,port=2222 add(R98),send()
R100 true 1 * send()
